mensaje,label
"ALERTA: Tu banco te está buscando urgentemente",spam
"El proyecto se aprobó sin modificaciones",ham
"¡Increíble oferta! Televisor de 50 pulgadas por $100",spam
"¿Recuerdas que mañana es el cumpleaños de Ana?",ham
"Curso online: conviértete en millonario en 30 días",spam
"La cena con los clientes fue exitosa",ham
"¡Último día! Suplementos milagrosos con 90% descuento",spam
"El técnico llegará entre 2 y 4 PM",ham
"¡Atención! Has ganado un viaje todo pagado a París",spam
"La presentación del proyecto es el viernes",ham
"Sistema revolucionario para ganar en apuestas deportivas",spam
"¿Puedes enviarme el archivo antes de las 5?",ham
"¡No esperes! Oportunidad de franquicia con 0% de inversión",spam
"El examen médico salió normal",ham
"Pastillas para aumentar la memoria en 48 horas",spam
"La clase de manejo es a las 10 AM",ham
"¡Felicitaciones! Fuiste elegido para probar productos gratis",spam
"El cumpleaños sorpresa será el sábado",ham
"Invierte en bienes raíces virtuales, el futuro es hoy",spam
"¿Trajiste los documentos que te pedí?",ham
"¡Increíble! Máquina para hacer dinero en casa",spam
"La junta directiva aprobó el presupuesto",ham
"URGENTE: Confirma tus datos o tu cuenta será cerrada",spam
"El partido de fútbol empieza a las 8",ham
"Método comprobado para conquistar a cualquier persona",spam
"¿Puedes recoger las llaves en la portería?",ham
"¡Oportunidad única! Negocio multinivel con ganancias millonarias",spam
"La cita con el oftalmólogo es mañana",ham
"¡Atención! Crema anti-edad que quita 20 años",spam
"El informe se enviará antes del mediodía",ham
"Gana dinero viendo videos desde tu celular",spam
"¿Nos encontramos en el café de siempre?",ham
"¡Sorpresa! Has sido seleccionado para ganar $1000000",spam
"La reunión familiar será el domingo",ham
"Producto revolucionario para crecer músculos sin ejercicio",spam
"El vuelo de conexión sale de la puerta 12",ham
"¡No lo dejes pasar! Oportunidad de ser tu propio jefe",spam
"¿Recibiste la invitación para la boda?",ham
"ALERTA: Virus detectado en tu dispositivo, limpia YA",spam
"El curso de cocina comienza la próxima semana",ham
"¡Increíble! Aceite milagroso cura todas las enfermedades",spam
"La cita en el banco es a las 11:30",ham
"Método secreto para aprobar cualquier examen sin estudiar",spam
"¿Puedes confirmar tu asistencia al evento?",ham
"¡Última hora! Liquidación total por cierre de tienda",spam
"El mantenimiento del ascensor será mañana",ham
"Pastillas para ser más alto en solo 2 semanas",spam
"¿Vamos al cine esta noche?",ham
"¡Felicitaciones! Ganaste una casa, reclama tu premio",spam
"La videoconferencia se grabó exitosamente",ham
"Invierte $100 hoy y retírate millonario en 1 año",spam
"El plomero llegará a las 3 PM",ham
"¡Atención! Método para leer la mente de las personas",spam
"¿Trajiste el regalo para el baby shower?",ham
"URGENTE: Tu tarjeta será bloqueada, confirma datos ahora",spam
"La clase de baile se canceló por enfermedad",ham
"¡Increíble descubrimiento! Pulsera que cura el cáncer",spam
"El pedido de comida llegará en 45 minutos",ham
"Oportunidad única: conviértete en influencer millonario",spam
"La cita con el psicólogo es el martes",ham
"¡No esperes más! Loción para hacer crecer pestañas",spam
"¿Puedes revisar el email que te envié?",ham
"Gana dinero apostando con sistema infalible",spam
"La reunión de trabajo será virtual",ham
"¡Felicitaciones! Fuiste elegido embajador de marca",spam
"El cumpleaños de mamá es el próximo mes",ham
"Pastillas para nunca más enfermarse en la vida",spam
"¿Nos vemos para el almuerzo de mañana?",ham
"¡Atención! Curso para ser millonario en 7 días",spam
"El examen de manejo es el próximo viernes",ham
"URGENTE: Últimas horas de promoción especial",spam
"La cena de graduación será en el hotel",ham
"¡Increíble! Máquina del tiempo personal por $99",spam
"¿Puedes pasar por la farmacia?",ham
"Método revolucionario para hablar 10 idiomas en 1 mes",spam
"La cita con el contador es a las 4",ham
"¡No lo creerás! Píldora para nunca dormir otra vez",spam
"El proyecto se entregó antes de tiempo",ham
"Invierte en la próxima Apple, oportunidad histórica",spam
"¿Recuerdas que tenemos cita con el veterinario?",ham
"¡Oferta loca! Auto último modelo por $1000",spam
"La clase de yoga se cambió de horario",ham
"Pastillas para tener visión de rayos X",spam
"El cumpleaños sorpresa será a las 6",ham
"¡Atención! Sistema para predecir números ganadores",spam
"¿Puedes enviar el reporte antes de irte?",ham
"URGENTE: Tu cuenta bancaria será cerrada hoy",spam
"La cita médica se confirmó para mañana",ham
"¡Increíble! Spray que hace invisible por 1 hora",spam
"¿Nos encontramos en el parque?",ham
"Gana $1000 por cada persona que invites",spam
"El mantenimiento del aire acondicionado es hoy",ham
"¡Felicitaciones! Fuiste seleccionado para viajar gratis",spam
"La presentación del nuevo producto fue exitosa",ham
"Método para controlar la mente de otros",spam
"¿Puedes confirmar la hora de la cita?",ham
"¡Oportunidad única! Máquina para imprimir dinero",spam
"El examen se aplicará en el aula 205",ham
"ALERTA: Detectamos actividad sospechosa en tu cuenta",spam
"La reunión familiar se cambió para el domingo",ham
"¡Increíble! Collar que te hace irresistible",spam
"¿Trajiste los documentos para la firma?",ham
"Pastillas para leer pensamientos ajenos",spam
"El vuelo de regreso sale a las 9 PM",ham
"¡No esperes! Curso para ser adivino profesional",spam
"La cita con el endocrinólogo es el jueves",ham
"Método comprobado para detener el envejecimiento",spam
"¿Puedes recoger el pastel de cumpleaños?",ham
"¡Atención! Has ganado la lotería europea",spam
"El informe anual se presentará mañana",ham
"URGENTE: Confirma tu número de cuenta o la perderás",spam
"¿Nos vemos para cenar después del trabajo?",ham
"¡Increíble! Anillo mágico que concede deseos",spam
"La clase de computación inicia la próxima semana",ham
"Invierte en la criptomoneda del futuro, ganancias aseguradas",spam
"El técnico de internet llegará entre 1 y 3",ham
"¡Felicitaciones! Fuiste elegido para ser modelo",spam
"¿Recibiste la información del seguro médico?",ham
"Pastillas para cambiar el color de ojos",spam
"La cita en el salón de belleza es a las 2",ham
"¡No lo dejes pasar! Negocio que genera millones",spam
"El cumpleaños del jefe será celebrado mañana",ham
"ALERTA: Tu teléfono será bloqueado permanentemente",spam
"¿Puedes confirmar si vienes a la fiesta?",ham
"¡Increíble! Zapatos que te hacen volar",spam
"La reunión de consejo será virtual el lunes",ham
"Método secreto para ganar cualquier juego de azar",spam
"El examen de sangre salió perfecto",ham
"¡Oportunidad única! Elixir de la eterna juventud",spam
"¿Trajiste el contrato firmado?",ham
"Gana dinero mientras duermes con este sistema",spam
"La cena de aniversario será en casa",ham
"¡Atención! Curso para desarrollar superpoderes",spam
"El plomero terminó la reparación",ham
"URGENTE: Tu premio expira en 1 hora",spam
"¿Nos encontramos en la biblioteca?",ham
"¡No esperes! Pastillas para teletransportarse",spam
"La presentación del cliente fue aprobada",ham
"Invierte en oro virtual, el negocio del siglo",spam
"La cita con el ginecólogo es el martes",ham
"¡Increíble! Crema para hacer desaparecer tatuajes",spam
"¿Puedes pasar por la tintorería?",ham
"Método revolucionario para comunicarse con extraterrestres",spam
"El cumpleaños de los gemelos será el sábado",ham
"¡Felicitaciones! Has sido elegido millonario del mes",spam
"La clase de piano se cambió para las 5",ham
"ALERTA: Virus mortal detectado, compra antídoto YA",spam
"¿Recuerdas que mañana es día de limpieza?",ham
"¡Atención! Pócima mágica para ser inmortal",spam
"El informe de ventas superó las expectativas",ham
"Pastillas para hablar con los animales",spam
"¿Nos vemos en el café después de clases?",ham
"¡No lo creerás! Máquina para controlar el clima",spam
"La cita con el nutricionista es a las 10",ham
"URGENTE: Tu identidad será robada si no actúas",spam
"El proyecto se completó dentro del presupuesto",ham
"¡Increíble! Spray para volverse invisible",spam
"¿Puedes traer postre para la cena?",ham
"Método infalible para ganar en todos los casinos",spam
"La reunión de padres se canceló por lluvia",ham
"¡Oportunidad única! Poción para enamorar a cualquiera",spam
"El vuelo se adelantó 30 minutos",ham
"Gana $10000 por cada click que hagas",spam
"¿Trajiste el regalo de bodas?",ham
"¡Atención! Curso para leer el futuro en 1 día",spam
"La cita médica anual está programada",ham
"URGENTE: Tu computadora será hackeada en 5 minutos",spam
"¿Nos encontramos para estudiar juntos?",ham
"¡No esperes! Píldora para nunca más sentir dolor",spam
"El mantenimiento del edificio será el domingo",ham
"Invierte en la nueva Tesla de Marte",spam
"Tu contraseña ha sido restablecida con éxito",ham
"¡Felicidades! Ganaste un viaje a Cancún. Haz clic para reclamar",spam
"Recordatorio de pago: Tu factura vence el 7 de junio",ham
"¡Última oportunidad! Descuento del 90% en artículos de lujo",spam
"Confirmación de envío: Tu paquete llegará el viernes",ham
"Tu cuenta bancaria ha sido comprometida. Verifica tus datos aquí",spam
"¿Quieres duplicar tus ingresos? Descubre nuestro método secreto",spam
"El doctor te espera a las 4 PM. Sé puntual",ham
"¡Promoción exclusiva para ti! Regístrate y recibe un bono",spam
"Tu solicitud de préstamo ha sido pre-aprobada",spam
"El curso de cocina empieza el lunes. ¿Estás listo?",ham
"¡Urgente! Tu perfil será eliminado si no actualizas tu información",spam
"¡Gana dinero mientras duermes! Únete a nuestro programa de afiliados",spam
"Reunión de coordinación de proyecto cancelada. Nuevo horario pronto",ham
"¡Felicidades! Has ganado un iPhone 15. Reclámalo ahora",spam
"Tu pedido de Amazon está en camino. Número de seguimiento: ASG789",ham
"¡Grandes ofertas! Liquidación total por cierre de negocio",spam
"Notificación de impuestos: Tu declaración fue rechazada, actualiza aquí",spam
"El concierto de rock empieza a las 20:00. ¡No llegues tarde!",ham
"¡Inscríbete hoy y recibe 50% de descuento en tu primera compra!",spam
"¿Buscas trabajo? Tenemos la solución para ti. ¡Postúlate ya!",spam
"Tu cita para el mantenimiento del auto es el 10 de junio",ham
"¡Dinero garantizado en 24 horas! Solicita tu préstamo sin trámites",spam
"Cambio de horario para la clase de yoga. Ahora es a las 6 PM",ham
